1295
52 5
10 12 Wall
10 13 Wall
12 16 Wall
11 16 Wall
10 16 Wall
9 16 Wall
7 13 Wall
9 10 Wall
9 8 Wall
7 9 Wall
4 11 Wall
4 12 Wall
3 12 Wall
3 13 Wall
2 13 Wall
1 12 Wall
2 15 Wall
5 15 Wall
4 15 Wall
3 17 Wall
4 17 Wall
2 17 Wall
1 17 Wall
1 18 Wall
1 19 Wall
0 21 Wall
1 21 Wall
2 21 Wall
2 19 Wall
3 19 Wall
4 19 Wall
4 20 Wall
3 23 Wall
2 23 Wall
1 23 Wall
0 25 Wall
1 25 Wall
3 25 Wall
5 24 Wall
5 25 Wall
5 26 Wall
5 27 Wall
3 26 Wall
3 27 Wall
3 28 Wall
5 28 Wall
3 29 Wall
3 30 Wall
4 30 Wall
5 30 Wall
6 30 Wall
1 27 Wall
1 29 Wall
2 27 Wall
0 29 Wall
1 31 Wall
2 31 Wall
5 17 Wall
5 20 Wall
8 30 Wall
8 31 Wall
8 28 Wall
9 28 Wall
11 29 Wall
12 29 Wall
12 31 Wall
7 20 Wall
9 18 Wall
10 18 Wall
9 19 Wall
9 20 Wall
9 21 Wall
9 22 Wall
7 24 Wall
9 23 Wall
7 26 Wall
7 27 Wall
10 20 Wall
11 20 Wall
12 18 Wall
14 18 Wall
14 19 Wall
15 19 Wall
9 25 Wall
9 26 Wall
10 26 Wall
10 23 Wall
11 23 Wall
12 24 Wall
13 27 Wall
14 26 Wall
12 25 Wall
14 29 Wall
16 28 Wall
14 31 Wall
16 27 Wall
15 27 Wall
18 24 Wall
18 19 Wall
19 20 Wall
22 17 Wall
22 18 Wall
22 19 Wall
22 20 Wall
21 21 Wall
22 21 Wall
16 19 Wall
16 20 Wall
16 21 Wall
15 21 Wall
14 21 Wall
11 21 Wall
14 22 Wall
13 22 Wall
11 24 Wall
13 24 Wall
16 24 Wall
16 25 Wall
18 25 Wall
18 26 Wall
18 27 Wall
19 24 Wall
19 21 Wall
19 22 Wall
21 22 Wall
21 23 Wall
21 24 Wall
20 24 Wall
21 19 Wall
19 18 Wall
34 14 Wall
33 13 Wall
32 18 Wall
32 19 Wall
32 20 Wall
33 22 Wall
31 20 Wall
31 21 Wall
31 22 Wall
31 23 Wall
32 24 Wall
31 24 Wall
33 26 Wall
32 26 Wall
31 26 Wall
30 26 Wall
32 13 Wall
31 13 Wall
29 14 Wall
29 12 Wall
31 14 Wall
31 15 Wall
29 15 Wall
29 16 Wall
29 17 Wall
31 17 Wall
31 18 Wall
25 14 Wall
25 15 Wall
25 16 Wall
25 17 Wall
22 15 Wall
23 15 Wall
23 13 Wall
24 17 Wall
24 18 Wall
24 19 Wall
25 19 Wall
25 20 Wall
25 21 Wall
23 21 Wall
25 22 Wall
24 23 Wall
25 23 Wall
23 23 Wall
21 25 Wall
21 26 Wall
22 26 Wall
23 25 Wall
25 24 Wall
25 25 Wall
25 26 Wall
25 27 Wall
25 28 Wall
23 28 Wall
24 28 Wall
22 28 Wall
21 28 Wall
19 26 Wall
19 28 Wall
18 28 Wall
26 16 Wall
27 16 Wall
28 18 Wall
27 18 Wall
26 20 Wall
27 20 Wall
29 20 Wall
29 21 Wall
27 21 Wall
27 22 Wall
29 23 Wall
29 24 Wall
28 24 Wall
30 24 Wall
28 25 Wall
28 26 Wall
28 27 Wall
26 25 Wall
27 27 Wall
27 28 Wall
27 29 Wall
27 30 Wall
25 30 Wall
23 29 Wall
23 30 Wall
21 30 Wall
19 29 Wall
19 30 Wall
17 30 Wall
26 30 Wall
41 28 Wall
51 17 Wall
54 9 Wall
29 3 Wall
24 30 Wall
63 20 Wall
62 17 Wall
63 15 Wall
60 10 Wall
61 8 Wall
60 6 Wall
61 4 Wall
62 3 Wall
60 2 Wall
58 0 Wall
51 20 Wall
55 20 Wall
57 21 Wall
40 8 Wall
38 11 Wall
40 9 Wall
38 9 Wall
41 12 Wall
17 16 Wall
42 17 Wall
45 5 Wall
49 6 Wall
47 7 Wall
51 9 Wall
51 10 Wall
51 11 Wall
51 12 Wall
53 11 Wall
53 12 Wall
53 13 Wall
54 10 Wall
53 6 Wall
56 7 Wall
56 8 Wall
56 9 Wall
56 10 Wall
45 12 Wall
45 13 Wall
43 14 Wall
43 15 Wall
43 16 Wall
43 17 Wall
47 15 Wall
45 16 Wall
45 17 Wall
45 18 Wall
45 19 Wall
47 20 Wall
47 21 Wall
47 22 Wall
49 24 Wall
49 25 Wall
49 26 Wall
49 27 Wall
49 28 Wall
49 29 Wall
49 30 Wall
54 30 Wall
59 18 Wall
59 19 Wall
59 20 Wall
59 21 Wall
59 22 Wall
59 23 Wall
59 24 Wall
59 25 Wall
59 26 Wall
59 27 Wall
59 28 Wall
59 29 Wall
59 30 Wall
55 26 Wall
55 27 Wall
55 28 Wall
53 21 Wall
53 22 Wall
53 23 Wall
53 24 Wall
53 25 Wall
53 26 Wall
61 21 Wall
61 22 Wall
61 23 Wall
61 24 Wall
61 25 Wall
61 26 Wall
60 14 Wall
60 15 Wall
60 16 Wall
60 17 Wall
59 14 Wall
58 12 Wall
62 4 Wall
62 5 Wall
62 6 Wall
62 7 Wall
62 8 Wall
62 9 Wall
62 10 Wall
62 11 Wall
62 12 Wall
62 13 Wall
59 3 Wall
59 6 Wall
59 7 Wall
59 8 Wall
59 9 Wall
59 10 Wall
57 1 Wall
55 3 Wall
40 1 Wall
42 3 Wall
42 4 Wall
42 5 Wall
38 3 Wall
36 2 Wall
36 3 Wall
34 1 Wall
32 3 Wall
27 1 Wall
24 3 Wall
17 3 Wall
13 3 Wall
10 1 Wall
9 5 Wall
13 7 Wall
16 6 Wall
16 7 Wall
16 8 Wall
20 5 Wall
20 6 Wall
20 7 Wall
20 8 Wall
20 9 Wall
22 6 Wall
22 7 Wall
27 11 Wall
27 12 Wall
29 18 Wall
32 10 Wall
32 11 Wall
34 10 Wall
34 11 Wall
37 10 Wall
37 11 Wall
41 13 Wall
37 14 Wall
37 15 Wall
34 25 Wall
34 26 Wall
34 27 Wall
34 28 Wall
34 29 Wall
34 31 Wall
37 30 Wall
39 30 Wall
36 26 Wall
36 27 Wall
36 28 Wall
21 31 Wall
16 29 Wall
16 30 Wall
7 28 Wall
10 27 Wall
10 28 Wall
10 29 Wall
10 30 Wall
4 23 Wall
12 19 Wall
12 20 Wall
16 22 Wall
12 26 Wall
12 27 Wall
14 27 Wall
18 20 Wall
23 26 Wall
10 14 Wall
7 14 Wall
7 15 Wall
1 13 Wall
1 14 Wall
1 15 Wall
7 10 Wall
12 12 Wall
43 30 Wall
43 31 Wall
41 29 Wall
41 30 Wall
43 25 Wall
43 26 Wall
45 23 Wall
45 28 Wall
57 22 Wall
47 10 Wall
47 11 Wall
47 12 Wall
33 14 Wall
33 15 Wall
33 16 Wall
33 17 Wall
33 18 Wall
33 6 Wall
33 7 Wall
35 9 Wall
29 4 Wall
29 5 Wall
8 13 Wall
45 20 Wall
45 24 Wall
47 29 Wall
47 30 Wall
58 19 Wall
60 30 Wall
61 30 Wall
62 30 Wall
61 28 Wall
63 28 Wall
62 28 Wall
44 15 Wall
62 2 Wall
35 11 Wall
30 7 Wall
27 6 Wall
11 1 Wall
0 0 Wall
0 1 Wall
0 2 Wall
1 2 Wall
2 2 Wall
2 1 Wall
2 0 Wall
2 3 Wall
2 4 Wall
5 1 Wall
4 1 Wall
4 2 Wall
4 3 Wall
4 4 Wall
4 5 Wall
11 2 Wall
11 3 Wall
11 6 Wall
11 5 Wall
5 7 Wall
6 7 Wall
6 6 Wall
12 13 Wall
7 23 Wall
7 22 Wall
5 23 Wall
5 21 Wall
14 30 Wall
19 31 Wall
17 22 Wall
18 22 Wall
19 12 Wall
23 10 Wall
23 11 Wall
28 30 Wall
29 30 Wall
30 30 Wall
32 30 Wall
31 30 Wall
32 29 Wall
32 28 Wall
30 27 Wall
30 28 Wall
59 5 Wall
57 4 Wall
55 6 Wall
55 5 Wall
52 4 Wall
40 21 Rectangle
40 22 Rectangle
40 23 Rectangle
40 24 Rectangle
40 28 Triangle
40 29 Triangle
40 30 Triangle
40 31 Triangle
46 29 Rectangle
46 28 Rectangle
46 27 Rectangle
47 27 Rectangle
47 23 Triangle
48 23 Triangle
48 22 Triangle
49 22 Triangle
54 21 Rectangle
55 21 Rectangle
56 21 Rectangle
56 20 Rectangle
57 25 Triangle
56 25 Triangle
56 26 Triangle
56 27 Triangle
58 30 Rectangle
58 28 Rectangle
58 29 Rectangle
63 29 Triangle
62 29 Triangle
61 29 Triangle
63 27 Rectangle
63 26 Rectangle
63 25 Rectangle
63 21 Triangle
62 21 Triangle
62 20 Triangle
62 18 Rectangle
63 18 Rectangle
63 17 Rectangle
61 13 Triangle
60 13 Triangle
60 12 Triangle
60 9 Rectangle
60 8 Rectangle
60 7 Rectangle
61 7 Triangle
61 6 Triangle
61 5 Triangle
58 4 Rectangle
58 5 Rectangle
56 4 Triangle
55 4 Triangle
47 8 Rectangle
46 8 Rectangle
45 8 Rectangle
43 8 Triangle
42 8 Triangle
41 8 Triangle
40 10 Rectangle
39 10 Rectangle
39 9 Rectangle
39 8 Rectangle
38 8 Rectangle
37 8 Rectangle
35 8 Triangle
33 8 Rectangle
31 8 Rectangle
30 8 Rectangle
29 8 Rectangle
29 7 Rectangle
28 6 Triangle
28 5 Triangle
28 4 Triangle
28 2 Rectangle
27 2 Rectangle
24 2 Triangle
18 2 Triangle
12 2 Triangle
21 2 Rectangle
15 2 Rectangle
12 1 Rectangle
15 1 Triangle
18 1 Rectangle
21 1 Triangle
24 1 Rectangle
24 0 Triangle
21 0 Rectangle
18 0 Triangle
15 0 Rectangle
12 0 Triangle
7 0 Rectangle
6 0 Rectangle
5 0 Rectangle
3 0 Rectangle
3 1 Rectangle
3 3 Rectangle
3 5 Triangle
3 6 Triangle
4 6 Triangle
6 5 Rectangle
7 5 Rectangle
9 6 Triangle
10 6 Triangle
10 5 Triangle
12 4 Rectangle
12 5 Rectangle
13 5 Rectangle
15 4 Triangle
16 4 Triangle
17 4 Triangle
19 5 Rectangle
19 6 Rectangle
19 7 Rectangle
19 8 Rectangle
18 8 Rectangle
17 9 Rectangle
16 10 Triangle
14 10 Triangle
13 11 Rectangle
12 11 Rectangle
11 11 Rectangle
10 9 Triangle
9 9 Triangle
5 9 Rectangle
5 11 Rectangle
5 12 Rectangle
5 13 Rectangle
3 15 Triangle
5 16 Triangle
7 18 Rectangle
7 19 Rectangle
8 19 Rectangle
6 21 Rectangle
6 22 Rectangle
3 22 Triangle
2 22 Triangle
1 22 Triangle
60 4 Triangle
57 5 Rectangle
54 4 Triangle
17 7 Triangle
9 11 Rectangle
7 8 Triangle
3 14 Triangle
6 16 Rectangle
8 20 Triangle
9 31 Triangle
11 31 Rectangle
12 30 Rectangle
13 29 Triangle
15 29 Rectangle
13 31 Rectangle
12 28 Rectangle
15 31 Triangle
16 31 Triangle
17 31 Triangle
18 29 Rectangle
17 28 Rectangle
17 26 Triangle
17 25 Triangle
16 26 Rectangle
15 26 Rectangle
15 25 Rectangle
15 24 Rectangle
14 23 Rectangle
13 23 Rectangle
12 21 Rectangle
13 21 Rectangle
13 19 Rectangle
13 17 Triangle
15 17 Rectangle
15 18 Rectangle
16 18 Rectangle
11 17 Triangle
18 17 Rectangle
18 15 Triangle
18 14 Triangle
18 13 Triangle
20 12 Rectangle
20 11 Rectangle
19 11 Triangle
19 10 Rectangle
20 10 Triangle
22 8 Rectangle
22 9 Rectangle
21 8 Rectangle
21 7 Rectangle
22 4 Triangle
23 4 Triangle
23 5 Triangle
24 9 Rectangle
24 11 Triangle
24 13 Rectangle
26 5 Wall
24 7 Wall
26 7 Wall
27 13 Wall
27 14 Wall
26 14 Wall
25 9 Triangle
25 11 Rectangle
25 13 Triangle
26 9 Rectangle
26 11 Triangle
26 13 Rectangle
25 7 Triangle
23 14 Triangle
24 14 Rectangle
23 16 Triangle
23 17 Triangle
23 18 Triangle
24 20 Rectangle
24 22 Rectangle
24 21 Rectangle
22 22 Triangle
22 23 Triangle
22 24 Triangle
24 24 Rectangle
24 25 Rectangle
24 26 Rectangle
32 31 Triangle
33 31 Triangle
33 30 Rectangle
33 28 Triangle
33 27 Triangle
32 27 Rectangle
31 27 Rectangle
31 28 Rectangle
30 29 Triangle
29 29 Triangle
29 28 Rectangle
28 28 Triangle
28 29 Rectangle
29 26 Triangle
29 25 Triangle
31 25 Rectangle
32 25 Rectangle
33 25 Rectangle
36 21 Wall
37 31 Wall
38 26 Wall
34 30 Triangle
35 29 Rectangle
35 28 Rectangle
35 27 Rectangle
35 30 Triangle
35 31 Rectangle
36 31 Rectangle
35 26 Wall
33 24 Triangle
33 20 Wall
37 19 Wall
34 24 Rectangle
33 23 Triangle
32 22 Rectangle
32 21 Rectangle
35 23 Rectangle
35 22 Rectangle
35 21 Rectangle
35 19 Rectangle
34 18 Rectangle
34 16 Triangle
34 15 Triangle
35 15 Triangle
36 16 Rectangle
37 16 Rectangle
38 16 Rectangle
39 16 Rectangle
41 16 Triangle
52 5 Save
50 6 Triangle
50 7 Triangle
49 7 Triangle
48 7 Triangle
26 6 Rectangle
25 4 Rectangle
10 3 Triangle
9 3 Triangle
10 2 Triangle
15 7 Rectangle
14 7 Rectangle
14 8 Rectangle
9 12 Rectangle
9 13 Rectangle
1 16 Wall
2 16 Rectangle
6 14 Triangle
5 19 Triangle
5 18 Triangle
4 18 Triangle
4 24 Save
0 23 Rectangle
0 24 Rectangle
1 24 Rectangle
2 25 Triangle
2 26 Triangle
3 24 Rectangle
1 26 Triangle
4 26 Rectangle
4 27 Rectangle
4 28 Rectangle
5 29 Triangle
6 29 Triangle
7 30 Rectangle
7 29 Triangle
9 29 Rectangle
11 28 Rectangle
11 27 Rectangle
13 25 Triangle
13 26 Triangle
15 22 Triangle
11 22 Triangle
14 20 Rectangle
11 18 Triangle
13 16 Rectangle
17 19 Rectangle
17 20 Rectangle
20 16 Triangle
15 15 Rectangle
22 12 Triangle
22 13 Rectangle
22 14 Rectangle
26 4 Triangle
27 8 Triangle
22 25 Rectangle
23 27 Save
20 27 Triangle
20 28 Rectangle
19 27 Rectangle
20 26 Rectangle
21 27 Rectangle
20 29 Rectangle
20 30 Triangle
20 31 Triangle
22 29 Rectangle
22 30 Rectangle
23 31 Triangle
24 31 Triangle
25 31 Triangle
27 31 Triangle
28 31 Rectangle
30 31 Rectangle
35 25 Triangle
37 23 Triangle
37 24 Triangle
33 19 Rectangle
36 19 Rectangle
36 18 Triangle
60 31 Triangle
61 31 Triangle
62 31 Triangle
60 27 Rectangle
60 28 Rectangle
62 23 Triangle
60 20 Rectangle
60 18 Triangle
61 16 Rectangle
